Name,Surname,Sex,Nationality,Date of birth
Joseph,Freeman,male,English,2000/07/05
Genette,Rennell,female,Native American,2000/07/22
Delilah,Strange,female,Native American,1998/05/02
Ron,Causey,male,Native American,1998/06/03
Kevin,Kendal,male,France,1996/12/19
Leola,Boone,female,Native American,1995/03/01
Wisdom,Bates,male,African,2001/09/21
Raymond,Durand,male,France,2000/08/08
Braylon,Garbutt,male,English,2000/07/11
Benjamin,Auteberry,male,English,2002/04/10
Kate,Lindsey,female,English,1995/05/08
Oira,Plank,female,African,1998/12/28
Tamma,Courtenay,female,Canada,1995/02/21
Israel,Laughtisse,male,Native American,1996/03/06
Howie,MacNair,male,Native American,1997/08/18
Kiah,Iwanicki,male,Canada,2000/01/07
Seana,Shakelady,female,France,2000/11/17
Mile,Aspall,male,Canada,20001/05/06
Dulcie,Pakes,male,African,1998/09/13
Harmon,Borley,male,African,1999/01/11
Karen,Scruton,female,Canada,1999/05/22
Glennie,Pecha,female,Canada,1996/03/27
Cariotta,Choldcroft,female,Italian,1996/04/27
Mona,Avison,female,English,1994/02/18
Cobby,Minchella,male,China,2000/08/04
Yoko,Simmank,male,China,1995/12/16
Porter,Laver,male,Native American,1999/02/11
Anderson,Duthie,male,Poland,1998/02/04
Aldon,Yendall,male,China,1999/01/08
Kimberley,Budd,male,China,1990/04/29
Rodger,Lummus,male,Canada,1999/08/24
Antone,Montford,male,Canada,1999/05/16
Chloe,Bercher,female,Poland,1997/09/15
Jesse,Batcock,female,Poland,1999/11/16
Nicoline,McAdam,female,Native American,1998/12/01
Aubry,Malan,female,African,2001/06/19
Kassia,Oliphard,female,China,2002/02/25
Stacy,Verbeek,female,English,1997/02/26
Teresita,Foden,female,Native American,1990/07/28
Clayton,Beretta,male,Native American,1992/05/18
Bo,Ind,male,China,2000/02/23
Gabey,Howlings,female,English,1999/08/09
Salomone,Bellwood,male,Italian,1999/07/04
Vivianne,Scamerdine,female,Italian,1999/01/26
Teodorico,Dedden,male,France,1999/06/29
Gustavus,Pass,male,France,1999/05/06
Reggy,McLernon,male,Native American,1998/03/13
Obadias,Razzell,male,Italian,1996/06/15
Godart,Nolli,male,China,1997/05/09
Nisse,Fattori,female,Italian,1996/03/30
Danni,Wickett,male,Canada,1996/10/02
Crin,Friese,male,Canada,1999/10/24
